Artist,Category,Streams,Revenue (USD),Country,Year,Most Popular Song,Subscription Type,Age Group,Danceability,Energy,Tempo,Valence
The Weeknd,Pop,130738,6412.29,Australia,2021,Intro - Live,Free,25-34,,,,
The Weeknd,Pop,962829,42048.38,Italy,2023,Alone Again - Live,Premium,18-24,,,,
The Weeknd,Pop,822791,57527.93,Canada,2019,Gasoline - Live,Premium,35-44,,,,
The Weeknd,Pop,246014,12702.39,South Korea,2019,Sacrifice - Live,Free,18-24,,,,
The Weeknd,Pop,240841,14751.97,Japan,2022,How Do I Make You Love Me? - Live,Free,35-44,,,,
The Weeknd,Pop,779163,34875.32,Japan,2021,Can't Feel My Face - Live,Free,18-24,,,,
The Weeknd,Pop,134795,4618.84,Canada,2019,Take My Breath - Live,Premium,18-24,,,,
The Weeknd,Pop,750481,45339.86,Australia,2024,Hurricane - Live,Free,18-24,,,,
The Weeknd,Pop,665551,32044.41,Canada,2024,The Hills - Live,Free,45+,,,,
The Weeknd,Pop,109524,6226.85,India,2019,Often - Live,Premium,35-44,,,,
The Weeknd,Pop,556919,36481.57,Germany,2021,Crew Love - Live,Premium,13-17,,,,
The Weeknd,Pop,506807,20167.44,Germany,2023,Starboy - Live,Premium,45+,,,,
The Weeknd,Pop,608544,19863.49,Japan,2019,Heartless - Live,Premium,18-24,,,,
The Weeknd,Pop,340605,14122.37,Netherlands,2024,Low Life - Live,Free,45+,,,,
The Weeknd,Pop,72765,4143.19,South Africa,2022,Or Nah - Live,Premium,18-24,,,,
The Weeknd,Pop,692034,29021.21,Australia,2021,Kiss Land - Live,Premium,25-34,,,,
The Weeknd,Pop,916555,36832.27,Germany,2019,Party Monster - Live,Premium,18-24,,,,
The Weeknd,Pop,419223,27999.65,Spain,2024,Faith - Live,Free,35-44,,,,
The Weeknd,Pop,68288,3843.62,Spain,2019,After Hours - Live,Free,35-44,,,,
The Weeknd,Pop,832214,43543.05,Mexico,2021,Out of Time - Live,Free,25-34,,,,
The Weeknd,Pop,382294,21280.34,Italy,2022,Dawn FM,Free,35-44,,,,
The Weeknd,Pop,314104,13981.88,Germany,2019,Gasoline,Free,45+,,,,
The Weeknd,Pop,360089,25137.49,Netherlands,2024,How Do I Make You Love Me?,Premium,45+,,,,
The Weeknd,Pop,874787,36240.46,South Korea,2022,Take My Breath,Free,18-24,,,,
The Weeknd,Pop,151256,6026.41,Australia,2019,Sacrifice,Premium,35-44,,,,
The Weeknd,Pop,57418,2146.85,India,2022,A Tale By Quincy,Free,18-24,,,,
The Weeknd,Pop,464580,28264.37,India,2019,Out of Time,Premium,45+,,,,
The Weeknd,Pop,407770,22206.24,Spain,2021,"Here We Go… Again (feat. Tyler, the Creator)",Premium,35-44,,,,
The Weeknd,Pop,807376,36381.89,Brazil,2023,Best Friends,Free,18-24,,,,
The Weeknd,Pop,541162,22152.76,Mexico,2022,Is There Someone Else?,Free,18-24,,,,
The Weeknd,Pop,528916,34926.95,South Korea,2019,Starry Eyes,Free,13-17,,,,
The Weeknd,Pop,188221,12517.43,Brazil,2019,Every Angel is Terrifying,Premium,13-17,,,,
The Weeknd,Pop,624251,22404.09,UK,2023,Don’t Break My Heart,Free,25-34,,,,
The Weeknd,Pop,320508,19997.52,Australia,2020,I Heard You're Married (feat. Lil Wayne),Premium,35-44,,,,
The Weeknd,Pop,54174,2847.33,UK,2024,Less Than Zero,Free,35-44,,,,
The Weeknd,Pop,476972,28117.34,South Korea,2023,Phantom Regret by Jim,Premium,45+,,,,
The Weeknd,Pop,554955,31137.1,Spain,2022,Moth To A Flame (with The Weeknd),Free,25-34,,,,
The Weeknd,Pop,126155,7080.35,Mexico,2024,Dawn FM - OPN Remix,Free,18-24,,,,
The Weeknd,Pop,86470,4981.52,UK,2021,How Do I Make You Love Me? - Sebastian Ingrosso & Salvatore Ganacci Remix,Free,25-34,,,,
The Weeknd,Pop,106839,5854.2,Japan,2022,Sacrifice (Remix) (feat. Swedish House Mafia),Premium,35-44,,,,
The Weeknd,Pop,462431,27917.57,India,2020,Dawn FM,Premium,35-44,,,,
The Weeknd,Pop,408719,12574.58,Canada,2022,Gasoline,Free,35-44,,,,
The Weeknd,Pop,318478,12556.42,Italy,2019,How Do I Make You Love Me?,Premium,45+,,,,
The Weeknd,Pop,220657,14888.97,Germany,2023,Take My Breath,Free,35-44,,,,
The Weeknd,Pop,92552,6089.51,Japan,2021,Sacrifice,Premium,35-44,,,,
The Weeknd,Pop,501055,25520.66,Italy,2024,A Tale By Quincy,Premium,25-34,,,,
The Weeknd,Pop,107531,6931.3,Mexico,2023,Out of Time,Free,45+,,,,
The Weeknd,Pop,599797,40135.58,South Korea,2022,"Here We Go… Again (feat. Tyler, the Creator)",Free,45+,,,,
The Weeknd,Pop,582430,33666.88,South Africa,2021,Best Friends,Premium,25-34,,,,
The Weeknd,Pop,170390,7007.99,Canada,2023,Is There Someone Else?,Free,25-34,,,,
The Weeknd,Pop,755896,26208.54,India,2021,Starry Eyes,Free,35-44,,,,
The Weeknd,Pop,204516,11631.21,Netherlands,2024,Every Angel is Terrifying,Free,25-34,,,,
The Weeknd,Pop,605720,32127.56,Italy,2024,Don’t Break My Heart,Free,13-17,,,,
The Weeknd,Pop,892567,43097.2,Canada,2024,I Heard You’re Married (feat. Lil Wayne),Premium,45+,,,,
The Weeknd,Pop,427675,20711.73,Italy,2021,Less Than Zero,Free,35-44,,,,
The Weeknd,Pop,779396,48147.66,France,2019,Phantom Regret by Jim,Free,13-17,,,,
The Weeknd,Pop,515492,35539.89,Spain,2023,Alone Again,Premium,45+,,,,
The Weeknd,Pop,459016,31577.56,France,2024,Too Late,Free,45+,,,,
The Weeknd,Pop,615815,32016.6,Brazil,2019,Hardest To Love,Free,45+,,,,
The Weeknd,Pop,281299,9292.06,Netherlands,2020,Scared To Live,Premium,35-44,,,,
The Weeknd,Pop,788224,27458.34,Netherlands,2021,Snowchild,Free,45+,,,,
The Weeknd,Pop,343333,17640.06,UK,2023,Escape From LA,Free,45+,,,,
The Weeknd,Pop,978002,51989.63,Italy,2024,Heartless,Premium,18-24,,,,
The Weeknd,Pop,854087,44354.8,Germany,2020,Faith,Free,13-17,,,,
The Weeknd,Pop,545444,27937.78,Spain,2023,Blinding Lights,Premium,13-17,,,,
The Weeknd,Pop,968551,42415.51,France,2019,In Your Eyes,Premium,13-17,,,,
The Weeknd,Pop,943387,30833.37,Italy,2024,Save Your Tears,Free,13-17,,,,
The Weeknd,Pop,684641,25492.99,USA,2019,Repeat After Me (Interlude),Free,35-44,,,,
The Weeknd,Pop,321725,11200.46,USA,2022,After Hours,Free,35-44,,,,
The Weeknd,Pop,350284,22630.48,Italy,2019,Until I Bleed Out,Free,18-24,,,,
The Weeknd,Pop,378772,19828.45,UK,2024,Nothing Compares - Bonus Track,Free,18-24,,,,
The Weeknd,Pop,627217,34072.75,Germany,2021,Missed You - Bonus Track,Free,18-24,,,,
The Weeknd,Pop,961076,47618.0,India,2019,Final Lullaby - Bonus Track,Premium,45+,,,,
The Weeknd,Pop,330520,10311.12,Brazil,2019,Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,Premium,35-44,,,,
The Weeknd,Pop,777992,31679.9,Italy,2022,Alone Again,Free,18-24,,,,
The Weeknd,Pop,271020,12895.83,USA,2024,Too Late,Premium,45+,,,,
The Weeknd,Pop,182351,9738.6,Australia,2020,Hardest To Love,Free,45+,,,,
The Weeknd,Pop,827040,48324.1,Netherlands,2022,Scared To Live,Free,25-34,,,,
The Weeknd,Pop,962688,32854.76,Brazil,2022,Snowchild,Free,13-17,,,,
The Weeknd,Pop,956169,64152.25,Mexico,2022,Escape From LA,Premium,18-24,,,,
The Weeknd,Pop,985824,43916.17,Netherlands,2023,Heartless,Free,13-17,,,,
The Weeknd,Pop,742980,23072.8,USA,2021,Faith,Premium,25-34,,,,
The Weeknd,Pop,260351,12680.62,France,2021,Blinding Lights,Premium,45+,,,,
The Weeknd,Pop,267434,15447.51,South Africa,2020,In Your Eyes,Premium,35-44,,,,
The Weeknd,Pop,793459,25754.39,Netherlands,2019,Save Your Tears,Premium,45+,,,,
The Weeknd,Pop,514477,24139.61,Canada,2023,Repeat After Me (Interlude),Premium,13-17,,,,
The Weeknd,Pop,992633,55949.63,Japan,2022,After Hours,Free,25-34,,,,
The Weeknd,Pop,677566,33190.27,France,2019,Until I Bleed Out,Free,13-17,,,,
The Weeknd,Pop,447371,23954.95,Spain,2019,Call Out My Name,Free,13-17,,,,
The Weeknd,Pop,671468,29465.08,France,2022,Try Me,Free,35-44,,,,
The Weeknd,Pop,181835,12672.7,Japan,2024,Wasted Times,Free,18-24,,,,
The Weeknd,Pop,240370,7381.36,Germany,2023,I Was Never There,Free,13-17,,,,
The Weeknd,Pop,968784,40963.79,Italy,2023,Hurt You,Premium,13-17,,,,
The Weeknd,Pop,484297,27033.04,Netherlands,2022,Privilege,Premium,18-24,,,,
The Weeknd,Pop,217831,7886.44,Australia,2023,Call Out My Name - A Cappella,Free,13-17,,,,
The Weeknd,Pop,148509,9097.02,Canada,2024,Starboy,Free,13-17,,,,
The Weeknd,Pop,141934,8877.61,UK,2020,Party Monster,Free,13-17,,,,
The Weeknd,Pop,596972,33879.03,Netherlands,2021,False Alarm,Premium,18-24,,,,
The Weeknd,Pop,197205,10291.93,UK,2019,Reminder,Free,45+,,,,
The Weeknd,Pop,686051,42217.25,Germany,2024,Rockin’,Premium,18-24,,,,
The Weeknd,Pop,451984,18699.86,Australia,2021,Secrets,Free,35-44,,,,
The Weeknd,Pop,698918,45200.17,South Africa,2022,True Colors,Free,18-24,,,,
The Weeknd,Pop,192230,11768.33,Japan,2019,Stargirl Interlude,Free,45+,,,,
The Weeknd,Pop,945826,58782.09,Japan,2021,Sidewalks,Free,45+,,,,
The Weeknd,Pop,563125,23550.98,France,2024,Six Feet Under,Free,18-24,,,,
The Weeknd,Pop,921853,62890.71,Brazil,2021,Love To Lay,Premium,18-24,,,,
The Weeknd,Pop,286571,13785.38,Australia,2024,A Lonely Night,Premium,45+,,,,
The Weeknd,Pop,865135,57148.05,Japan,2022,Attention,Free,45+,,,,
The Weeknd,Pop,819385,51327.06,Australia,2021,Ordinary Life,Premium,25-34,,,,
The Weeknd,Pop,464544,24761.43,UK,2019,Nothing Without You,Free,18-24,,,,
The Weeknd,Pop,414400,13849.69,Japan,2022,All I Know,Premium,35-44,,,,
The Weeknd,Pop,764558,33384.3,France,2022,Die For You,Premium,25-34,,,,
The Weeknd,Pop,378764,22848.91,USA,2021,I Feel It Coming,Premium,45+,,,,
The Weeknd,Pop,549143,32096.75,India,2020,Real Life,Free,25-34,,,,
The Weeknd,Pop,692128,45647.49,Canada,2024,Losers,Free,13-17,,,,
The Weeknd,Pop,269980,11693.51,Italy,2024,Tell Your Friends,Premium,35-44,,,,
The Weeknd,Pop,263658,11793.53,Germany,2023,Often,Premium,13-17,,,,
The Weeknd,Pop,65474,2753.89,Spain,2021,The Hills,Free,18-24,,,,
The Weeknd,Pop,981238,53006.52,Brazil,2024,Acquainted,Premium,45+,,,,
The Weeknd,Pop,734243,39685.77,Brazil,2020,Can't Feel My Face,Free,18-24,,,,
The Weeknd,Pop,110229,6624.25,Italy,2021,Shameless,Premium,35-44,,,,
The Weeknd,Pop,249486,16563.69,Japan,2022,Earned It (Fifty Shades Of Grey),Free,35-44,,,,
The Weeknd,Pop,269130,9331.03,Netherlands,2022,In The Night,Premium,35-44,,,,
The Weeknd,Pop,328837,18829.9,India,2022,As You Are,Premium,13-17,,,,
The Weeknd,Pop,88548,3739.79,UK,2020,Dark Times,Free,13-17,,,,
The Weeknd,Pop,458503,23111.59,Japan,2023,Prisoner,Free,18-24,,,,
The Weeknd,Pop,306183,18928.52,UK,2022,Angel,Premium,18-24,,,,
Dua Lipa,pop,184182,9348.47,South Korea,2020,Overture (Live from the Royal Albert Hall),Free,35-44,,,,
Dua Lipa,pop,522967,22049.14,Netherlands,2021,End Of An Era (Live from the Royal Albert Hall),Free,45+,,,,
Dua Lipa,pop,303763,19181.32,France,2021,Houdini (Live from the Royal Albert Hall),Free,45+,,,,
Dua Lipa,pop,806689,47161.68,South Korea,2021,Training Season (Live from the Royal Albert Hall),Free,45+,,,,
Dua Lipa,pop,404354,20028.26,South Africa,2020,These Walls (Live from the Royal Albert Hall),Premium,45+,,,,
Dua Lipa,pop,78397,3783.97,Canada,2022,Whatcha Doing (Live from the Royal Albert Hall),Free,45+,,,,
Dua Lipa,pop,735429,23568.71,Mexico,2020,French Exit (Live from the Royal Albert Hall),Free,18-24,,,,
Dua Lipa,pop,958680,49365.25,France,2023,Illusion (Live from the Royal Albert Hall),Free,25-34,,,,
Dua Lipa,pop,718543,35880.37,Brazil,2024,Falling Forever (Live from the Royal Albert Hall),Premium,35-44,,,,
Dua Lipa,pop,640481,20559.9,Australia,2020,Anything For Love (Live from the Royal Albert Hall),Free,13-17,,,,
Dua Lipa,pop,621384,18922.16,Canada,2020,Maria (Live from the Royal Albert Hall),Free,45+,,,,
Dua Lipa,pop,856240,38178.35,Brazil,2023,Happy For You (Live from the Royal Albert Hall),Premium,13-17,,,,
Dua Lipa,pop,900359,30884.35,Australia,2019,Love Again (Live from the Royal Albert Hall),Free,13-17,,,,
Dua Lipa,pop,504898,32494.31,Mexico,2022,Pretty Please (Live from the Royal Albert Hall),Premium,13-17,,,,
Dua Lipa,pop,853875,56353.73,France,2020,Levitating (Live from the Royal Albert Hall),Premium,18-24,,,,
Dua Lipa,pop,498487,19466.27,Japan,2020,Sunshine (Live from the Royal Albert Hall),Free,35-44,,,,
Dua Lipa,pop,685604,27377.45,USA,2021,Cold Heart (Live from the Royal Albert Hall),Premium,45+,,,,
Dua Lipa,pop,915739,55749.35,India,2023,Be The One (Live from the Royal Albert Hall),Premium,18-24,,,,
Dua Lipa,pop,892372,47073.85,Japan,2024,Dance The Night (Live from the Royal Albert Hall),Free,45+,,,,
Dua Lipa,pop,730146,26944.77,Canada,2021,Don’t Start Now (Live from the Royal Albert Hall),Premium,18-24,,,,
Dua Lipa,pop,978212,59527.62,Italy,2023,End Of An Era - Extended,Premium,25-34,,,,
Dua Lipa,pop,266169,15266.31,UK,2024,Houdini - Extended,Premium,13-17,,,,
Dua Lipa,pop,300845,15449.98,South Korea,2022,Training Season - Extended,Free,45+,,,,
Dua Lipa,pop,326876,17934.29,Japan,2022,These Walls - Extended,Free,25-34,,,,
Dua Lipa,pop,869100,39984.47,South Korea,2024,Whatcha Doing - Extended,Premium,35-44,,,,
Dua Lipa,pop,962463,38452.45,Japan,2023,French Exit - Extended,Premium,25-34,,,,
Dua Lipa,pop,256241,8357.36,Italy,2023,Illusion - Extended,Premium,18-24,,,,
Dua Lipa,pop,566387,34516.26,Japan,2020,Falling Forever - Extended,Free,35-44,,,,
Dua Lipa,pop,835889,48710.59,UK,2023,Anything For Love - Extended,Free,13-17,,,,
Dua Lipa,pop,506448,27647.83,Mexico,2021,Maria - Extended,Premium,45+,,,,
Dua Lipa,pop,175727,10096.59,South Korea,2019,Happy For You - Extended,Free,13-17,,,,
Dua Lipa,pop,650804,22612.51,USA,2019,End Of An Era,Premium,13-17,,,,
Dua Lipa,pop,531072,28538.87,Germany,2019,Houdini,Premium,25-34,,,,
Dua Lipa,pop,545806,27716.26,Germany,2019,Training Season,Premium,45+,,,,
Dua Lipa,pop,654244,23941.71,Australia,2023,These Walls,Premium,18-24,,,,
Dua Lipa,pop,699795,29733.56,Netherlands,2019,Whatcha Doing,Free,35-44,,,,
Dua Lipa,pop,127479,4105.92,Italy,2020,French Exit,Free,13-17,,,,
Dua Lipa,pop,585647,32423.04,USA,2020,Illusion,Free,25-34,,,,
Dua Lipa,pop,664059,27715.7,South Africa,2019,Falling Forever,Premium,35-44,,,,
Dua Lipa,pop,461938,15393.1,UK,2023,Anything For Love,Free,35-44,,,,
Dua Lipa,pop,558858,36748.2,France,2021,Maria,Premium,18-24,,,,
Dua Lipa,pop,521925,28032.4,Canada,2020,Happy For You,Premium,25-34,,,,
Dua Lipa,pop,978609,32485.86,Canada,2021,Future Nostalgia,Free,18-24,,,,
Dua Lipa,pop,551887,21980.12,South Korea,2020,Don't Start Now,Free,35-44,,,,
Dua Lipa,pop,347221,11765.04,South Korea,2019,Cool,Free,13-17,,,,
Dua Lipa,pop,933097,32412.45,South Korea,2023,Physical,Free,45+,,,,
Dua Lipa,pop,196184,7224.16,Australia,2024,Levitating,Premium,13-17,,,,
Dua Lipa,pop,246644,8974.31,Brazil,2020,Pretty Please,Premium,35-44,,,,
Dua Lipa,pop,253615,16157.86,Brazil,2021,Hallucinate,Premium,18-24,,,,
Dua Lipa,pop,546747,17808.23,Canada,2020,Love Again,Premium,25-34,,,,
Dua Lipa,pop,193251,5897.99,USA,2022,Break My Heart,Free,35-44,,,,
Dua Lipa,pop,972056,34641.14,Australia,2020,Good In Bed,Premium,35-44,,,,
Dua Lipa,pop,904887,54198.67,Japan,2023,Boys Will Be Boys,Premium,35-44,,,,
Dua Lipa,pop,442366,28222.66,Brazil,2022,Fever,Premium,25-34,,,,
Dua Lipa,pop,822120,50272.11,Australia,2020,We're Good,Free,35-44,,,,
Dua Lipa,pop,475399,23258.52,South Africa,2020,Prisoner (feat. Dua Lipa),Premium,25-34,,,,
Dua Lipa,pop,57131,2886.61,Italy,2019,If It Ain’t Me,Free,13-17,,,,
Dua Lipa,pop,398447,24501.09,India,2023,That Kind Of Woman,Free,13-17,,,,
Dua Lipa,pop,568416,36213.94,Germany,2021,Not My Problem (feat. JID),Premium,18-24,,,,
Dua Lipa,pop,254801,15087.89,USA,2023,Levitating (feat. DaBaby),Free,25-34,,,,
Dua Lipa,pop,623802,22982.31,South Africa,2024,Un Día (One Day),Free,35-44,,,,
Dua Lipa,pop,627453,27723.97,Brazil,2022,Future Nostalgia (Joe Goddard Remix) [Mixed],Free,13-17,,,,
Dua Lipa,pop,792938,50379.92,Italy,2022,Cool (Jayda G Remix) [Mixed],Premium,45+,,,,
Dua Lipa,pop,527133,24551.39,India,2021,Good In Bed (Zach Witness & Gen Hoshino Remixes) [Mixed],Premium,45+,,,,
Dua Lipa,pop,832790,51748.7,Netherlands,2021,Pretty Please (Midland Refix) [Mixed],Premium,25-34,,,,
Dua Lipa,pop,655705,20239.45,South Africa,2023,Pretty Please (Masters at Work Remix) [Mixed],Free,45+,,,,
Dua Lipa,pop,792674,24439.12,South Korea,2020,Boys Will Be Boys (Zach Witness Remix) [Mixed],Free,25-34,,,,
Dua Lipa,pop,56576,3690.93,Australia,2019,Love Again (Horse Meat Disco Remix) [Mixed],Premium,45+,,,,
Dua Lipa,pop,554624,28865.42,Brazil,2022,Break My Heart / Cosmic Girl (Dimitri From Paris Edit) [Mixed],Premium,18-24,,,,
Dua Lipa,pop,694127,29165.65,India,2023,Levitating (feat. Madonna and Missy Elliott) [The Blessed Madonna Remix] [Mixed],Free,45+,,,,
Dua Lipa,pop,971586,29570.47,South Korea,2021,Hallucinate (Mr Fingers deep stripped mix) [Mixed],Premium,18-24,,,,
Dua Lipa,pop,123336,7972.64,Netherlands,2022,Hallucinate (Paul Woolford Remix) [Extended] [Mixed],Premium,18-24,,,,
Dua Lipa,pop,837315,51190.8,India,2023,Love Is Religion (The Blessed Madonna Remix) [Mixed],Premium,25-34,,,,
Dua Lipa,pop,71580,2211.0,UK,2019,Don't Start Now (Yaeji Remix) [Mixed],Free,13-17,,,,
Dua Lipa,pop,856822,37454.61,Spain,2021,Physical (feat. Gwen Stefani) [Mark Ronson Remix] [Mixed],Premium,25-34,,,,
Dua Lipa,pop,578191,31170.22,Canada,2019,Kiss and Make Up (Remix) [Mixed],Premium,45+,,,,
Dua Lipa,pop,408450,25893.73,South Africa,2020,That Kind Of Woman (Jacques Lu Cont Remix) [Mixed],Premium,25-34,,,,
Dua Lipa,pop,172009,9631.32,Australia,2021,Break My Heart (Moodymann Remix) [Mixed],Free,13-17,,,,
Dua Lipa,pop,218066,8673.28,Germany,2019,Future Nostalgia,Premium,18-24,,,,
Dua Lipa,pop,271826,11544.78,Mexico,2022,Don't Start Now,Free,45+,,,,
Dua Lipa,pop,648634,28807.34,USA,2019,Cool,Premium,25-34,,,,
Dua Lipa,pop,284617,9911.16,Japan,2022,Physical,Premium,45+,,,,
Dua Lipa,pop,567875,26379.54,France,2021,Levitating,Premium,25-34,,,,
Dua Lipa,pop,174801,9760.85,Japan,2023,Pretty Please,Premium,13-17,,,,
Dua Lipa,pop,154455,6876.79,France,2019,Hallucinate,Premium,25-34,,,,
Dua Lipa,pop,136444,5238.34,Spain,2021,Love Again,Free,13-17,,,,
Dua Lipa,pop,695719,36997.45,UK,2021,Break My Heart,Premium,25-34,,,,
Dua Lipa,pop,702317,32818.23,Spain,2022,Good In Bed,Premium,25-34,,,,
Dua Lipa,pop,650109,39872.06,Brazil,2019,Boys Will Be Boys,Premium,13-17,,,,
Dua Lipa,pop,50662,2941.0,South Korea,2021,Levitating (feat. DaBaby),Premium,45+,,,,
Dua Lipa,pop,961249,31304.29,Canada,2022,Fever,Premium,45+,,,,
Dua Lipa,pop,980070,66785.27,Japan,2020,Genesis,Premium,25-34,,,,
Dua Lipa,pop,264142,18164.69,Japan,2022,Lost In Your Light (feat. Miguel),Premium,18-24,,,,
Dua Lipa,pop,132865,6579.79,India,2021,Hotter Than Hell,Free,35-44,,,,
Dua Lipa,pop,394707,24700.49,India,2023,Be the One,Premium,45+,,,,
Dua Lipa,pop,936235,39953.03,Spain,2022,IDGAF,Premium,18-24,,,,
Dua Lipa,pop,477247,26484.19,Spain,2023,Blow Your Mind (Mwah),Free,35-44,,,,
Dua Lipa,pop,298432,15411.08,Mexico,2023,Garden,Free,13-17,,,,
Dua Lipa,pop,849759,44005.26,Canada,2021,No Goodbyes,Free,18-24,,,,
Dua Lipa,pop,538907,29897.79,Spain,2019,Thinking 'Bout You,Premium,18-24,,,,
Dua Lipa,pop,798285,37894.42,Netherlands,2020,New Rules,Premium,25-34,,,,
Dua Lipa,pop,572952,29096.18,South Africa,2022,Begging,Premium,35-44,,,,
Dua Lipa,pop,873708,34641.24,USA,2019,Homesick,Free,45+,,,,
Dua Lipa,pop,306764,19063.6,Spain,2019,Dreams,Premium,18-24,,,,
Dua Lipa,pop,194644,7219.7,USA,2022,Room for 2,Premium,45+,,,,
Dua Lipa,pop,951817,61724.05,Australia,2020,New Love,Free,18-24,,,,
Dua Lipa,pop,367748,17350.16,Canada,2022,Bad Together,Free,25-34,,,,
Dua Lipa,pop,58666,1807.11,USA,2021,Last Dance,Free,45+,,,,
Dua Lipa,pop,443137,21443.33,Canada,2019,Want To,Premium,18-24,,,,
Dua Lipa,pop,524162,23978.16,South Korea,2019,Running,Free,45+,,,,
Dua Lipa,pop,227401,12274.58,Japan,2024,Kiss and Make Up,Free,25-34,,,,
Dua Lipa,pop,528371,16361.45,France,2024,Genesis,Premium,13-17,,,,
Dua Lipa,pop,643111,25787.87,South Africa,2024,Lost In Your Light (feat. Miguel),Free,35-44,,,,
Dua Lipa,pop,162304,5534.06,Italy,2022,Hotter Than Hell,Premium,13-17,,,,
Dua Lipa,pop,126437,6927.03,Mexico,2020,Be the One,Free,35-44,,,,
Dua Lipa,pop,922500,39340.0,Mexico,2024,IDGAF,Free,35-44,,,,
Dua Lipa,pop,106217,4091.49,UK,2020,Blow Your Mind (Mwah),Premium,13-17,,,,
Dua Lipa,pop,783717,42433.71,Canada,2019,Garden,Premium,25-34,,,,
Dua Lipa,pop,197681,6445.52,Australia,2023,No Goodbyes,Free,18-24,,,,
Dua Lipa,pop,669899,37708.44,Brazil,2023,Thinking 'Bout You,Free,18-24,,,,
Dua Lipa,pop,602069,18221.4,UK,2024,New Rules,Free,13-17,,,,
Dua Lipa,pop,591404,19837.13,Brazil,2019,Begging,Free,18-24,,,,
